date,ent,evo,int,pri,sai,T
2019-01-01,20,3,81,237,0,20
2019-01-02,41,4,107,207,8,33
2019-01-03,83,7,187,212,4,79
2019-01-04,52,15,168,168,9,43
2019-01-05,35,25,86,118,12,23
2019-01-06,52,21,145,136,9,43
2019-01-07,63,43,140,189,15,48
2019-01-08,60,61,169,154,23,37
2019-01-09,46,56,127,132,19,27
2019-01-10,80,102,173,194,61,19
2019-01-11,41,84,149,131,23,18
2019-01-12,79,77,143,191,16,63
2019-01-13,58,72,156,169,17,41
2019-01-14,45,72,142,161,52,-7
2019-01-15,76,118,167,139,44,32
2019-01-16,69,107,173,126,39,30
2019-01-17,72,111,135,132,31,41
2019-01-18,66,115,116,171,35,31
2019-01-19,50,113,113,149,42,8
2019-01-20,48,103,169,155,43,5
2019-01-21,75,131,146,159,54,21
2019-01-22,69,114,149,127,51,18
2019-01-23,68,123,141,153,74,-6
2019-01-24,36,141,111,148,47,-11
2019-01-25,39,127,148,160,25,14
2019-01-26,64,60,120,157,14,50
2019-01-27,61,68,137,172,17,44
2019-01-28,47,115,157,158,49,-2
2019-01-29,54,106,182,114,36,18
2019-01-30,92,155,219,142,52,40
2019-01-31,62,153,125,175,70,-8
2019-02-01,56,146,147,292,54,2
2019-02-02,38,101,107,173,24,14
2019-02-03,50,92,97,157,16,34
2019-02-04,57,138,200,182,36,21
2019-02-05,70,156,194,167,37,33
2019-02-06,72,152,211,143,44,28
2019-02-07,72,113,190,151,22,50
2019-02-08,41,208,169,221,71,-30
2019-02-09,38,87,94,205,18,20
2019-02-10,63,80,167,253,27,36
2019-02-11,67,173,179,227,77,-10
2019-02-12,90,146,225,265,79,11
2019-02-13,119,154,243,258,63,56
2019-02-14,97,142,215,288,82,15
2019-02-15,52,136,186,303,55,-3
2019-02-16,49,109,227,322,59,-10
2019-02-17,94,90,238,299,16,78
2019-02-18,118,207,294,422,91,27
2019-02-19,99,214,317,354,68,31
2019-02-20,92,217,315,458,80,12
2019-02-21,92,163,361,371,75,17
2019-02-22,118,222,352,345,86,32
2019-02-23,102,186,367,449,39,63
2019-02-24,115,193,325,397,54,61
2019-02-25,159,231,435,411,99,60
2019-02-26,139,214,497,343,107,32
2019-02-27,130,237,412,352,111,19
